Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/Observation-StereopsisTestExample.json	842	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	411	292	0	0	2	0	0	0
fsh-generated/resources/Observation-StrabismusExamExample.json	1481	4	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	553	303	0	0	2	0	0	0
fsh-generated/resources/Observation-TensionCurveRightEye0800Example.json	1112	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	473	289	0	0	2	0	0	1
fsh-generated/resources/Observation-TensionCurveRightEye1200Example.json	1112	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	450	278	0	0	2	0	0	0
fsh-generated/resources/Observation-TensionCurveRightEye1400Example.json	1112	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	394	292	0	0	2	0	0	0
fsh-generated/resources/Observation-TensionCurveRightEyeExample.json	1283	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	496	216	0	0	2	0	0	0
fsh-generated/resources/Observation-VisualAcuityBinocularExample.json	902	1	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	371	302	0	0	3	0	0	0
fsh-generated/resources/Observation-VisualAcuityCorrectedLeftEyeExample.json	1471	1	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	571	276	0	0	1	0	0	0
fsh-generated/resources/Observation-VisualAcuityCountingFingersRightEyeExample.json	1235	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	457	245	0	0	2	0	0	0
fsh-generated/resources/Observation-VisualAcuityPinholeRightEyeExample.json	1536	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	549	245	0	0	2	0	0	0
fsh-generated/resources/Observation-VisualAcuityUncorrectedRightEyeExample.json	1671	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	548	226	0	0	3	0	0	0
fsh-generated/resources/Patient-PacienteEjemplo.json	210	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	140	299	0	0	2	0	0	0
